BankAccount 2 9 0 1 5 2 0 8
BookTown 23 69 1 0 17 11 0 29
Cloc 2 10 0 0 0 0 0 0
CoffeeOrders 5 20 0 4 9 5 0 18
CustomerOrder 7 32 1 7 27 7 0 42
DellStore 8 52 0 0 36 0 0 36
Employee 1 7 3 0 0 1 0 4
Examination 2 21 6 1 0 2 0 9
Flights 2 13 1 1 6 2 0 10
FrenchTowns 3 14 0 2 13 0 8 23
Inventory 1 4 0 0 0 1 1 2 4
Iso3166 1 3 0 0 2 1 0 3
JWhoisServer 6 49 0 0 44 6 0 50
NistDML181 2 7 0 1 0 1 0 2
NistDML182 2 32 0 1 0 1 0 2
NistDML183 2 6 0 1 0 0 1 2
NistWeather 2 9 5 0 2 2 0 9
NistXTS748 1 3 1 0 1 0 1 3 
NistXTS749 2 7 1 1 3 2 0 7
Person 1 5 1 0 5 1 0 7
Products 3 9 4 2 5 3 0 14
RiskIt 13 56 0 10 15 11 0 36
StudentResidence 2 6 3 1 2 2 0 8
UnixUsage 8 32 0 7 9 7 0 23
Usda 10 67 0 0 30 0 0 30
